variable;unit;min;max;Definition
Price|Final Energy|Hydrogen|Transport;US$2005/GJ;1.10774;;Hydrogen price at the final level in the transportation sector. Prices should include taxes and the effect of carbon prices.
Price|Final Energy|Liquids|Transport;US$2005/GJ;1.10774;;Liquids price at the final level in the transportation sector. Prices should include taxes and the effect of carbon prices.
PE;EJ/yr;;;total primary energy consumption (direct equivalent)
PE|+|Biomass;EJ/yr;;;primary energy consumption of purpose-grown bioenergy crops,crop and forestry residue bioenergy,municipal solid waste bioenergy,traditional biomass
PE|Biomass|1st Generation;EJ/yr;;;biomass primary energy from 1st generation biofuel crops (e.g.,sugar cane,rapeseed oil,maize,sugar beet)
PE|Biomass|Electricity;EJ/yr;;;primary energy input to electricity generation of purpose-grown bioenergy crops,crop and forestry residue bioenergy,municipal solid waste bioenergy,traditional biomass
PE|Biomass|Electricity|w/ CCS;EJ/yr;;;purpose-grown bioenergy crops,crop and forestry residue bioenergy,municipal solid waste bioenergy,traditional biomass primary energy input to electricity generation used in combination with CCS
PE|Biomass|Electricity|w/o CCS;EJ/yr;;;purpose-grown bioenergy crops,crop and forestry residue bioenergy,municipal solid waste bioenergy,traditional biomass primary energy input to electricity generation without CCS
PE|Biomass|Energy Crops;EJ/yr;;;biomass primary energy from purpose-grown bioenergy crops
PE|Biomass|Gases;EJ/yr;;;primary energy input to the fuel conversion sector
PE|Biomass|Hydrogen;EJ/yr;;;primary energy input to the fuel conversion sector
PE|Biomass|Liquids;EJ/yr;;;primary energy input to the fuel conversion sector
PE|Biomass|Modern;EJ/yr;;;modern biomass primary energy consumption,including purpose-grown bioenergy crops,crop and forestry residue bioenergy and municipal solid waste bioenergy
PE|Biomass|w/ CCS;EJ/yr;;;purpose-grown bioenergy crops,crop and forestry residue bioenergy,municipal solid waste bioenergy,traditional biomass primary energy consumption used in combination with CCS
PE|Biomass|w/o CCS;EJ/yr;;;purpose-grown bioenergy crops,crop and forestry residue bioenergy,municipal solid waste bioenergy,traditional biomass primary energy consumption without CCS
PE|Biomass|Residues;EJ/yr;;;biomass primary energy from residues
PE|Biomass|Solids;EJ/yr;;;primary energy input to the fuel conversion sector
PE|Biomass|Traditional;EJ/yr;;;traditional biomass primary energy consumption
PE|+|Coal;EJ/yr;;;coal primary energy consumption
PE|Coal|Electricity;EJ/yr;;;coal primary energy input to electricity generation
PE|Coal|Electricity|w/ CCS;EJ/yr;;;coal primary energy input to electricity generation used in combination with CCS
PE|Coal|Electricity|w/o CCS;EJ/yr;;;coal primary energy input to electricity generation without CCS
PE|Coal|Gases;EJ/yr;;;primary energy input to the fuel conversion sector
PE|Coal|Hydrogen;EJ/yr;;;primary energy input to the fuel conversion sector
PE|Coal|Liquids;EJ/yr;;;primary energy input to the fuel conversion sector
PE|Coal|Solids;EJ/yr;;;primary energy input to the fuel conversion sector
PE|Coal|w/ CCS;EJ/yr;;;coal primary energy consumption used in combination with CCS
PE|Coal|w/o CCS;EJ/yr;;;coal primary energy consumption without CCS
PE|Fossil;EJ/yr;;;coal,gas,conventional and unconventional oil primary energy consumption
PE|Fossil|w/ CCS;EJ/yr;;;coal,gas,conventional and unconventional oil primary energy consumption used in combination with CCS
PE|Fossil|w/o CCS;EJ/yr;;;coal,gas,conventional and unconventional oil primary energy consumption without CCS
PE|+|Gas;EJ/yr;;;gas primary energy consumption
PE|Gas|Electricity;EJ/yr;;;gas primary energy input to electricity generation
PE|Gas|Electricity|w/ CCS;EJ/yr;;;gas primary energy input to electricity generation used in combination with CCS
PE|Gas|Electricity|w/o CCS;EJ/yr;;;gas primary energy input to electricity generation without CCS
PE|Gas|Gases;EJ/yr;;;primary energy input to the fuel conversion sector
PE|Gas|Hydrogen;EJ/yr;;;primary energy input to the fuel conversion sector
PE|Gas|Liquids;EJ/yr;;;primary energy input to the fuel conversion sector
PE|Gas|w/ CCS;EJ/yr;;;gas primary energy consumption used in combination with CCS
PE|Gas|w/o CCS;EJ/yr;;;gas primary energy consumption without CCS
PE|+|Geothermal;EJ/yr;;;total geothermal primary energy consumption
PE|+|Hydro;EJ/yr;;;total hydro primary energy consumption
PE|Non-Biomass Renewables;EJ/yr;;;non-biomass renewable primary energy consumption (direct equivalent,includes hydro electricity,wind electricity,geothermal electricity and heat,solar electricity and heat and hydrogen,ocean energy)
PE|+|Nuclear;EJ/yr;;;nuclear primary energy consumption (direct equivalent,includes electricity,heat and hydrogen production from nuclear energy)
PE|+|Oil;EJ/yr;;;conventional & unconventional oil primary energy consumption
PE|Oil|w/o CCS;EJ/yr;;;conventional & unconventional oil primary energy consumption without CCS
PE|+|Solar;EJ/yr;;;total solar primary energy consumption
PE|+|Wind;EJ/yr;;;total wind primary energy consumption
SE;EJ/yr;;;total secondary energy - the sum of all secondary energy carrier production (for consistency checks)
SE|Electricity;EJ/yr;;;total net electricity production
SE|Electricity|Biomass;EJ/yr;;;net electricity production from municipal solid waste,purpose-grown biomass,crop residues,forest industry waste,biogas
SE|Electricity|Biomass|w/ CCS;EJ/yr;;;net electricity production from municipal solid waste,purpose-grown biomass,crop residues,forest industry waste with a CO2 capture component
SE|Electricity|Biomass|w/o CCS;EJ/yr;;;net electricity production from municipal solid waste,purpose-grown biomass,crop residues,forest industry waste with freely vented CO2 emissions
SE|Electricity|Coal;EJ/yr;;;net electricity production from coal
SE|Electricity|Coal|w/ CCS;EJ/yr;;;net electricity production from coal with a CO2 capture component
SE|Electricity|Coal|w/o CCS;EJ/yr;;;net electricity production from coal with freely vented CO2 emissions
SE|Electricity|Curtailment|WindSolar;EJ/yr;;;curtailment of electricity production due to oversupply from variable renewable sources (typically from wind and solar)
SE|Electricity|Gas;EJ/yr;;;net electricity production from natural gas
SE|Electricity|Gas|w/ CCS;EJ/yr;;;net electricity production from natural gas with a CO2 capture component
SE|Electricity|Gas|w/o CCS;EJ/yr;;;net electricity production from natural gas with freely vented CO2 emissions
SE|Electricity|Geothermal;EJ/yr;;;net electricity production from all sources of geothermal energy (e.g.,hydrothermal,enhanced geothermal systems)
SE|Electricity|Hydro;EJ/yr;;;net hydroelectric production
SE|Electricity|Non-Biomass Renewables;EJ/yr;;;net electricity production from hydro,wind,solar,geothermal,ocean,and other renewable sources (excluding bioenergy). This is a summary category for all the non-biomass renewables.
SE|Electricity|Nuclear;EJ/yr;;;net electricity production from nuclear energy
SE|Electricity|Oil;EJ/yr;;;net electricity production from refined liquid oil products
SE|Electricity|Oil|w/o CCS;EJ/yr;;;net electricity production from refined liquids with freely vented CO2 emissions
SE|Electricity|Solar;EJ/yr;;;net electricity production from all sources of solar energy (e.g.,PV and concentrating solar power)
SE|Electricity|Solar|CSP;EJ/yr;;;net electricity production from concentrating solar power (CSP)
SE|Electricity|Solar|PV;EJ/yr;;;net electricity production from solar photovoltaics (PV)
SE|Electricity|Wind;EJ/yr;;;net electricity production from wind energy (on- and offshore)
SE|Gases;EJ/yr;;;total production of gaseous fuels,including natural gas
SE|Gases|Biomass;EJ/yr;;;total production of biogas
SE|Gases|Coal;EJ/yr;;;total production of coal gas from coal gasification
SE|Gases|Natural Gas;EJ/yr;;;total production of natural gas
SE|Heat;EJ/yr;;;total centralized heat generation
SE|Heat|Biomass;EJ/yr;;;centralized heat generation from biomass
SE|Heat|Coal;EJ/yr;;;centralized heat generation from coal
SE|Heat|Gas;EJ/yr;;;centralized heat generation from gases
SE|Heat|Geothermal;EJ/yr;;;centralized heat generation from geothermal energy EXCLUDING geothermal heat pumps
SE|Hydrogen;EJ/yr;;;total hydrogen production
SE|Hydrogen|Biomass;EJ/yr;;;hydrogen production from biomass
SE|Hydrogen|Biomass|w/ CCS;EJ/yr;;;hydrogen production from biomass with a CO2 capture component
SE|Hydrogen|Biomass|w/o CCS;EJ/yr;;;hydrogen production from biomass with freely vented CO2 emissions
SE|Hydrogen|Coal;EJ/yr;;;hydrogen production from coal
SE|Hydrogen|Coal|w/ CCS;EJ/yr;;;hydrogen production from coal with a CO2 capture component
SE|Hydrogen|Coal|w/o CCS;EJ/yr;;;hydrogen production from coal with freely vented CO2 emissions
SE|Hydrogen|Electricity;EJ/yr;;;hydrogen production from electricity via electrolysis
SE|Hydrogen|Fossil;EJ/yr;;;hydrogen production from fossil fuels
SE|Hydrogen|Fossil|w/ CCS;EJ/yr;;;hydrogen production from fossil fuels with a CO2 capture component
SE|Hydrogen|Fossil|w/o CCS;EJ/yr;;;hydrogen production from fossil fuels with freely vented CO2 emissions
SE|Hydrogen|Gas;EJ/yr;;;hydrogen production from gas
SE|Hydrogen|Gas|w/ CCS;EJ/yr;;;hydrogen production from natural gas with a CO2 capture component
SE|Hydrogen|Gas|w/o CCS;EJ/yr;;;hydrogen production from natural gas with freely vented CO2 emissions
SE|Liquids;EJ/yr;;;total production of refined liquid fuels from all energy sources (incl. oil products,synthetic fossil fuels from gas and coal,biofuels)
SE|Liquids|Biomass;EJ/yr;;;total liquid biofuels production
SE|Liquids|Biomass|1st Generation;EJ/yr;;;liquid biofuels production from 1st generation technologies,relying on e.g. corn,sugar,oil
SE|Liquids|Biomass|Energy Crops;EJ/yr;;;liquid biofuels production from energy crops
SE|Liquids|Biomass|Residues;EJ/yr;;;liquid biofuels production from residues (forest and agriculture)
SE|Liquids|Biomass|w/ CCS;EJ/yr;;;total liquid biofuels production with CCS
SE|Liquids|Biomass|w/o CCS;EJ/yr;;;total liquid biofuels production without CCS
SE|Liquids|Coal;EJ/yr;;;total production of fossil liquid synfuels from coal-to-liquids (CTL) technologies
SE|Liquids|Coal|w/ CCS;EJ/yr;;;total production of fossil liquid synfuels from coal-to-liquids (CTL) technologies with CCS
SE|Liquids|Coal|w/o CCS;EJ/yr;;;total production of fossil liquid synfuels from coal-to-liquids (CTL) technologies without CCS
SE|Liquids|Fossil;EJ/yr;;;total production of fossil liquid synfuels
SE|Liquids|Fossil|w/ CCS;EJ/yr;;;total production of fossil liquid synfuels from facilities with CCS
SE|Liquids|Fossil|w/o CCS;EJ/yr;;;total production of fossil liquid synfuels from facilities without CCS
SE|Liquids|Gas;EJ/yr;;;total production of fossil liquid synfuels from gas-to-liquids (GTL) technologies
SE|Liquids|Gas|w/ CCS;EJ/yr;;;total production of fossil liquid synfuels from gas-to-liquids (GTL) technologies with CCS
SE|Liquids|Gas|w/o CCS;EJ/yr;;;total production of fossil liquid synfuels from gas-to-liquids (GTL) technologies without CCS
SE|Liquids|Oil;EJ/yr;;;total production of liquid fuels from petroleum,including both conventional and unconventional sources
SE|Solids;EJ/yr;;;solid secondary energy carriers (e.g.,briquettes,coke,wood chips,wood pellets)
SE|Solids|Biomass;EJ/yr;;;solid secondary energy carriers produced from biomass (e.g.,commercial charcoal,wood chips,wood pellets). Tradional bioenergy use is excluded.
SE|Solids|Coal;EJ/yr;;;solid secondary energy carriers produced from coal (e.g.,briquettes,coke)
Trade|Biomass;EJ/yr;;;net exports of solid,unprocessed biomass,at the global level these should add up to the trade losses only
Trade|Coal;EJ/yr;;;net exports of coal,at the global level these should add up to the trade losses only
Trade|Gas;EJ/yr;;;net exports of natural gas,at the global level these should add up to the trade losses only
Trade|Oil;EJ/yr;;;net exports of crude oil,at the global level these should add up to the trade losses only
Trade|Uranium|Mass;ktU/yr;;;net exports of Uranium,at the global level these should add up to the trade losses only
Household Expenditure|Food|Expenditure;USD/capita;;;expenditure of households for food.
Carbon Intensity|Production|Cement;Mt CO2/Mt;;;CO2eq carbon intensity of Cement production for both process and fuel combustion emissions
Carbon Intensity|Production|Cement|Fossil|Energy|Demand;Mt CO2/Mt;;;CO2-equiv carbon intensity of Cement production from fuel combustion emissions (excl. industrial process emissions)
Carbon Intensity|Production|Cement|Industrial Processes;Mt CO2/Mt;;;CO2-equiv carbon intensity of Cement production from industrial process emissions (excl. fuel combustion)
Carbon Intensity|Production|Steel;Mt CO2/Mt;;;CO2eq carbon intensity of Steel production for both process and fuel combustion emissions
Carbon Intensity|Production|Steel|Fossil|Energy|Demand;Mt CO2/Mt;;;CO2-equiv carbon intensity of Steel production from fuel combustion emissions (excl. industrial process emissions)
Production|Industry|Cement;Mt/yr;;;production of cement
Production|Industry|Steel;Mt/yr;;;production of steel
Specific Energy Consumption|Industry|Cement;MJ/t;;;Specific energy consumption of Cement
Specific Energy Consumption|Industry|Steel;MJ/t;;;Specific energy consumption of Steel
Investments;billion US$2005/yr;1.10774;;Total economy wide investments (macroecomic capital stock,energy system,R&D,...)
Energy Investments|Supply;billion US$2005/yr;1.10774;;investments into the energy supply system
Energy Investments|CO2 Trans&Stor;billion US$2005/yr;1.10774;;investment in CO2 transport and storage (note that investment in the capturing equipment should be included along with the power plant technology)
Energy Investments|Electricity;billion US$2005/yr;1.10774;;investments into electricity generation and supply (including electricity storage and transmission & distribution)
Energy Investments|Elec|Biomass;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Biomass|w/ CCS;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Biomass|w/o CCS;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Coal;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Coal|w/ CCS;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Coal|w/o CCS;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Storage;billion US$2005/yr;1.10774;;investments in electricity storage technologies (e.g.,batteries,compressed air storage reservoirs,etc.)
Energy Investments|Elec|Fossil;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Gas;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Gas|w/ CCS;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Gas|w/o CCS;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Geothermal;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Hydro;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Non-Bio Re;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Non-Fossil;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Nuclear;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Oil|w/o CCS;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Solar;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Elec|Grid;billion US$2005/yr;1.10774;;investments in transmission and distribution of power generation
Energy Investments|Elec|Wind;billion US$2005/yr;1.10774;;investments in new power generation for the specified power plant category. If the model features several sub-categories,the total investments should be reported. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Heat;billion US$2005/yr;1.10774;;investments in heat generation facilities
Energy Investments|Hydrogen;billion US$2005/yr;1.10774;;investments for the production of hydrogen
Energy Investments|Hydrogen|Fossil;billion US$2005/yr;1.10774;;investments for the production of hydrogen from fossil fuels. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Hydrogen|RE;billion US$2005/yr;1.10774;;investments for the production of hydrogen from the specified source. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Liquids;billion US$2005/yr;1.10774;;investments for the production of liquid fuels. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Liquids|Bio;billion US$2005/yr;1.10774;;investments for the production of biofuels. These should not include the costs of the feedstock. For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Liquids|Fossil;billion US$2005/yr;1.10774;;investments for the production of fossil-based synfuels (coal and gas). For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Energy Investments|Liquids|Oil Ref;billion US$2005/yr;1.10774;;investments for the production of fossil fuels from oil refineries For plants equipped with CCS,the investment in the capturing equipment should be included but not the one on transport and storage.
Demand;Mt DM/yr;;;total demand for food,non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation)
Demand|++|Crops;Mt DM/yr;;;total demand for food,non-food and feed crops and bioenergy crops (1st & 2nd generation)
Demand|Bioenergy|+|Crops;Mt DM/yr;;;demand for modern primary energy crops (1st and 2nd generation)
Demand|Bioenergy|+|Bioenergy crops;Mt DM/yr;;;demand for modern primary energy crops (1st and 2nd generation)
Demand|Bioenergy|+|Crops;Mt DM/yr;;;Demand for modern primary 1st generation energy crops
Demand|Bioenergy|+|Bioenergy crops;Mt DM/yr;;;
Demand|Feed|+|Crops;Mt DM/yr;;;total demand for feed crops
Demand|Food|+|Crops;Mt DM/yr;;;total demand for food crops
Demand|Agricultural Supply Chain Loss|+|Crops;Mt DM/yr;;;total demand for other crops
Demand|Domestic Balanceflow|+|Crops;Mt DM/yr;;;total demand for other crops
Demand|Material|+|Crops;Mt DM/yr;;;total demand for other crops
Demand|Processing|+|Crops;Mt DM/yr;;;total demand for other crops
Demand|Seed|+|Crops;Mt DM/yr;;;total demand for other crops
Demand|++|Livestock products;Mt DM/yr;;;total demand for livestock
Demand|Food|+|Livestock products;Mt DM/yr;;;total demand for food livestock
Demand|Agricultural Supply Chain Loss|+|Livestock products;Mt DM/yr;;;total demand for other livestock
Demand|Bioenergy|+|Livestock products;Mt DM/yr;;;total demand for other livestock
Demand|Domestic Balanceflow|+|Livestock products;Mt DM/yr;;;total demand for other livestock
Demand|Feed|+|Livestock products;Mt DM/yr;;;total demand for other livestock
Demand|Material|+|Livestock products;Mt DM/yr;;;total demand for other livestock
Demand|Processing|+|Livestock products;Mt DM/yr;;;total demand for other livestock
Demand|Seed|+|Livestock products;Mt DM/yr;;;total demand for other livestock
Production;Mt DM/yr;;;total production of food,non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation)
Production|+|Bioenergy crops;Mt DM/yr;;;total bioenergy-related agricultural production (including waste and residues)
Demand|Bioenergy|+|Crop residues;Mt DM/yr;;;total bioenergy-related agricultural production (including waste and residues)
Production|+|Bioenergy crops;Mt DM/yr;;;production for modern primary energy crops (1st and 2nd generation)
Demand|Bioenergy|+|Crop residues;Mt DM/yr;;;production of agricultural residues for modern bioenergy production
Production|+|Crops;Mt DM/yr;;;total production for food,non-food and feed products (crops and livestock)
Production|+|Livestock products;Mt DM/yr;;;total production for food,non-food and feed products (crops and livestock)
Production|+|Crops;Mt DM/yr;;;total production for food,non-food and feed products (crops)
Production|+|Livestock products;Mt DM/yr;;;total production for livestock products
Resources|Land Cover;million ha;;;total land cover
Resources|Land Cover|+|Urban Area;million ha;;;total built-up land associated with human settlement
Resources|Land Cover|+|Cropland;million ha;;;total arable land,i.e. land in non-forest bioenergy crop,food,and feed/fodder crops,as well as other arable land (cultivated area)
Resources|Land Cover|Cropland|Crops|+|Cereals;million ha;;;land dedicated to cereal crops: wheat,rice and coarse grains (maize,corn,millet,sorghum,barley,oats,rye)
Resources|Land Cover|Cropland|+|Bioenergy crops;million ha;;;land dedicated to both 1st & 2nd generation energy crops
Resources|Land Cover|Cropland|+|Bioenergy crops;million ha;;;land dedicated to 2nd generation energy crops (e.g.,switchgrass,miscanthus,fast-growing wood species)
Resources|Land Cover|Cropland|Bioenergy crops|irrigated;million ha;;;irrigated land dedicated to energy crops (e.g.,switchgrass,miscanthus,fast-growing wood species)
Resources|Land Cover|Cropland|Crops|irrigated;million ha;;;irrigated arable land,i.e. land in non-forest bioenergy crop,food,and feed/fodder crops,as well as other arable land (cultivated area)
Resources|Land Cover|Cropland|Crops|rainfed;million ha;;;area of land that is rain-fed
Resources|Land Cover|+|Forest;million ha;;;managed and unmanaged forest area
Resources|Land Cover|Forest|Managed Forest|+|NPI/NDC;million ha;;;area with afforestation and reforestation
Resources|Land Cover|Forest|Managed Forest|+|Afforestation;million ha;;;area with afforestation and reforestation
Resources|Land Cover|Forest|Managed Forest|+|Plantations;million ha;;;managed forests producing commercial wood supply for timber or energy (note: woody energy crops reported under â€˜energy cropsâ€™)
Resources|Land Cover|Forest|Natural Forest|+|Primary Forest;million ha;;;undisturbed natural forests,modified natural forests
Resources|Land Cover|Forest|Natural Forest|+|Secondary Forest;million ha;;;regrown (unmanaged) secondary forests,e.g. from abandoned agricultural land
Resources|Land Cover|+|Other Land;million ha;;;other land cover that does not fit into any other category (e.g.,rock,ice,desert,water,please provide a definition of the sources in this category in the 'comments' tab)
Resources|Land Cover|+|Pastures and Rangelands;million ha;;;pasture land. All categories of pasture land - not only high quality rangeland. Based on FAO definition of â€˜permanent meadows and pasturesâ€™
Res|Extraction|Coal;EJ/yr;;;
Res|Extraction|Gas;EJ/yr;;;
Res|Extraction|Oil;EJ/yr;;;
Nutrition|Calorie Supply;kcal/capita/day;;;all food demand in calories (conversion factor: 1 kcal = 4,1868 kJ)
Nutrition|Calorie Supply|+|Crops;kcal/capita/day;;;crop related food demand in calories
Nutrition|Calorie Supply|+|Livestock products;kcal/capita/day;;;livestock related food demand in calories
Population;million;;;total population
Population|Extreme poverty;million;;;population living in extreme poverty with income <US$2 2010 PPP per day
Population|Primary education;million;;;population with primary education completed
SDG|SDG02|Prevalence of underweight;million;;;population at risk of hunger,calculated by multipling total population and prevalence of undernourishment which is computed from a probability distribution of daily dietary energy consumption and minimum dietary energy requirement.
Population|Secondary education;million;;;population with secondary education completed
Population|Urban;million;;;total population living in urban areas
Premature mortality|PM2_5;million;;;
Subsidies;billion US$2005/yr;;;total energy-related subsidies
Subsidies|Fuel Extraction;billion US$2005/yr;;;fossil fuel subsidies
Water Consumption|Electricity w/o Hydro;km3/yr;;;
Tech|Electricity|Biomass|IGCCC|w/ CCS|Efficiency;%;;;Conversion efficiency (electricity produced per unit of primary energy input) of a new biomass power plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported,modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity| Biomass|w/ CCS|2,... Efficiency|Electricity|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Electricity|Biomass|CHP|w/o CCS|Efficiency;%;;;Conversion efficiency (electricity produced per unit of primary energy input) of a new biomass power plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported,modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity|Biomass|w/o CCS|2,... Efficiency|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Electricity|Coal|PCC|w/ CCS|Efficiency;%;;;Conversion efficiency (electricity produced per unit of primary energy input) of a new coal power plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported,modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity|Coal|w/ CCS|2,... Efficiency|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Electricity|Coal|PC|w/o CCS|Efficiency;%;;;Conversion efficiency (electricity produced per unit of primary energy input) of a new coal power plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported,modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity|Coal|w/o CCS|2,... Efficiency|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Electricity|Gas|CCC|w/ CCS|Efficiency;%;;;Conversion efficiency (electricity produced per unit of primary energy input) of a new gas power plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported,modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity|Gas|w/ CCS|2,... Efficiency|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Electricity|Gas|CHP|w/o CCS|Efficiency;%;;;Conversion efficiency (electricity produced per unit of primary energy input) of a new gas power plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported,modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity|Gas|w/o CCS|2,... Efficiency|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Gases|Biomass|w/o CCS|Efficiency;%;;;Conversion efficiency (energy content of gases produced per unit of primary energy input) of a new coal to gas plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported,modellers should report efficiency for the additional plant types by adding variables Efficiency|Gases|Coal|w/o CCS|2,... Efficiency|Gases|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Gases|Coal|w/o CCS|Efficiency;%;;;Conversion efficiency (energy content of gases produced per unit of primary energy input) of a new coal to gas plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported,modellers should report efficiency for the additional plant types by adding variables Efficiency|Gases|Coal|w/o CCS|2,... Efficiency|Gases|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Hydrogen|Biomass|w/ CCS|Efficiency;%;;;Conversion efficiency (energy content of hydrogen produced per unit of primary energy input) of a new biomass to hydrogen plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported,modellers should report efficiency for the additional plant types by adding variables Efficiency|Hydrogen|Biomass|w/ CCS|2,... Efficiency|Hydrogen|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
